Match Identifier,Top Player Prefix,Top Player Name,Top Player Stocks,Top Player Character,Top Player Character IDs,Top Player DQ,Bottom Player Prefix,Bottom Player Name,Bottom Player Stocks,Bottom Player Character,Bottom Player Character IDs,Bottom Player DQ
A,,Amanda,1,,,false,,Lawrence,"3,2",,,false
B,,jd,3,,,false,,Thomas,"1,3",,,false
C,,wes,3,,,false,,Lawrence,"0,3",,,false
D,,marco,2,,,false,,laura,"3,2",,,false
E,,josh,3,,,false,,jd,"1,3",,,false
F,,corley,0,,,false,,qp,"3,3",,,false
G,,wes,3,,,false,,laura,"1,3",,,false
H,,josh,0,,,false,,corley,"3,3",,,false
I,,wes,1,,,false,,corley,"3,2",,,false
L,,qp,3,,,false,,Amanda,"2,3",,,false
M,,marco,3,,,false,,Thomas,"0,3",,,false
N,,jd,3,,,false,,qp,"0,1",,,false
O,,Lawrence,1,,,false,,marco,"3,1",,,false
P,,laura,0,,,false,,qp,"3,2",,,false
Q,,josh,1,,,false,,marco,"3,1",,,false
R,,qp,3,,,false,,marco,"2,3",,,false
S,,wes,3,,,false,,qp,"1,3",,,false
J,,corley,3,,,false,,wes,"5,5",,,false
K,,wes,5,,,false,,corley,"1,5",,,false
